NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-08-26;2020-09-01;--;;;0.0000;132;0.0000;1093;5.6956;29;1;0
CATALUNYA;CATALUNYA;2020-08-25;2020-08-31;--;;;0.0000;132;0.0000;1051;5.6311;27;1;0
CATALUNYA;CATALUNYA;2020-08-25;2020-08-31;Si;;;262.0625;170;7100.3545;4606;4.3261;34;0;24
CATALUNYA;CATALUNYA;2020-08-25;2020-08-31;No;203.074;1.04497;96.6479;7352;1330.4733;101209;7.4238;450;63;40
CATALUNYA;CATALUNYA;2020-08-24;2020-08-30;No;204.777;1.05825;98.9747;7529;1350.8756;102761;7.3290;451;66;40
CATALUNYA;CATALUNYA;2020-08-24;2020-08-30;--;;;0.0000;143;0.0000;1192;5.8974;28;2;0
CATALUNYA;CATALUNYA;2020-08-24;2020-08-30;Si;;;257.4379;167;7206.7211;4675;4.1300;32;0;31
CATALUNYA;CATALUNYA;2020-08-23;2020-08-29;No;206.472;1.07166;98.3700;7483;1354.2672;103019;7.2834;445;67;42
CATALUNYA;CATALUNYA;2020-08-23;2020-08-29;--;;;0.0000;145;0.0000;1189;6.0840;32;2;0
CATALUNYA;CATALUNYA;2020-08-23;2020-08-29;Si;;;268.2287;174;7240.6351;4697;4.6822;32;1;30
CATALUNYA;CATALUNYA;2020-08-22;2020-08-28;--;;;0.0000;146;0.0000;1176;6.0764;33;3;0
CATALUNYA;CATALUNYA;2020-08-22;2020-08-28;Si;;;289.8103;188;7445.6605;4830;4.5702;32;1;32
CATALUNYA;CATALUNYA;2020-08-22;2020-08-28;No;211.612;1.10255;98.2385;7473;1370.8177;104278;7.1751;444;63;43
CATALUNYA;CATALUNYA;2020-08-21;2020-08-27;No;215.865;1.13232;99.3033;7554;1350.6521;102744;7.4019;463;69;36
CATALUNYA;CATALUNYA;2020-08-21;2020-08-27;--;;;0.0000;147;0.0000;1107;6.5559;35;4;0
CATALUNYA;CATALUNYA;2020-08-21;2020-08-27;Si;;;300.6012;195;7456.4513;4837;4.4260;31;1;32
CATALUNYA;CATALUNYA;2020-08-20;2020-08-26;No;217.133;1.15071;99.4742;7567;1297.4247;98695;7.7289;441;65;36
CATALUNYA;CATALUNYA;2020-08-20;2020-08-26;--;;;0.0000;143;0.0000;1088;6.9614;31;5;0
CATALUNYA;CATALUNYA;2020-08-20;2020-08-26;Si;;;300.6012;195;6983.1971;4530;4.6641;30;1;33
CATALUNYA;CATALUNYA;2020-08-19;2020-08-25;--;;;0.0000;134;0.0000;1057;6.2924;28;6;0
CATALUNYA;CATALUNYA;2020-08-19;2020-08-25;Si;;;218.8993;142;6525.3584;4233;3.6976;27;2;31
CATALUNYA;CATALUNYA;2020-08-19;2020-08-25;No;214.531;1.16053;98.6460;7504;1230.4337;93599;7.9610;464;70;40
CATALUNYA;CATALUNYA;2020-08-18;2020-08-24;--;;;0.0000;125;0.0000;1041;5.6047;27;7;0
CATALUNYA;CATALUNYA;2020-08-18;2020-08-24;Si;;;192.6930;125;6426.6995;4169;3.2581;29;3;31
CATALUNYA;CATALUNYA;2020-08-18;2020-08-24;No;212.196;1.16656;97.6864;7431;1190.0498;90527;8.1856;483;77;43
CATALUNYA;CATALUNYA;2020-08-17;2020-08-23;No;207.536;1.16615;94.5314;7191;1131.2224;86052;8.4502;481;81;41
CATALUNYA;CATALUNYA;2020-08-17;2020-08-23;--;;;0.0000;119;0.0000;1019;6.1061;25;6;0
CATALUNYA;CATALUNYA;2020-08-17;2020-08-23;Si;;;180.3607;117;6059.8119;3931;3.2857;33;3;27
CATALUNYA;CATALUNYA;2020-08-16;2020-08-22;--;;;0.0000;114;0.0000;1016;6.1307;25;5;0
CATALUNYA;CATALUNYA;2020-08-16;2020-08-22;Si;;;177.2776;115;6087.5597;3949;2.7011;33;2;24
CATALUNYA;CATALUNYA;2020-08-16;2020-08-22;No;206.158;1.16477;94.2948;7173;1127.3181;85755;8.4436;495;78;38
CATALUNYA;CATALUNYA;2020-08-15;2020-08-21;--;;;0.0000;112;0.0000;1007;5.8764;25;4;0
CATALUNYA;CATALUNYA;2020-08-15;2020-08-21;Si;;;160.3206;104;5843.9956;3791;2.8734;34;2;22
CATALUNYA;CATALUNYA;2020-08-15;2020-08-21;No;202.707;1.14834;93.6901;7127;1105.4961;84095;8.6592;509;78;39
CATALUNYA;CATALUNYA;2020-08-14;2020-08-20;No;194.471;1.12293;91.3370;6948;1067.7676;81225;8.7371;501;69;45
CATALUNYA;CATALUNYA;2020-08-14;2020-08-20;--;;;0.0000;111;0.0000;1088;6.1263;26;3;0
CATALUNYA;CATALUNYA;2020-08-14;2020-08-20;Si;;;126.4066;82;5339.9105;3464;3.0791;34;2;26
CATALUNYA;CATALUNYA;2020-08-13;2020-08-19;Si;;;117.1573;76;5719.1305;3710;2.6016;40;3;24
CATALUNYA;CATALUNYA;2020-08-13;2020-08-19;No;187.499;1.10755;89.2205;6787;1066.2033;81106;8.4468;497;69;43
CATALUNYA;CATALUNYA;2020-08-13;2020-08-19;--;;;0.0000;127;0.0000;1098;6.9897;27;3;0
CATALUNYA;CATALUNYA;2020-08-12;2020-08-18;--;;;0.0000;130;0.0000;1054;7.7299;26;3;0
CATALUNYA;CATALUNYA;2020-08-12;2020-08-18;Si;;;155.6960;101;6024.3564;3908;3.3487;44;2;25
CATALUNYA;CATALUNYA;2020-08-12;2020-08-18;No;182.452;1.09882;86.2101;6558;1056.5148;80369;8.3184;476;65;38
CATALUNYA;CATALUNYA;2020-08-11;2020-08-17;No;179.018;1.09381;84.2119;6406;1039.5173;79076;8.2021;462;61;37
CATALUNYA;CATALUNYA;2020-08-11;2020-08-17;--;;;0.0000;132;0.0000;1035;8.6481;25;2;0
CATALUNYA;CATALUNYA;2020-08-11;2020-08-17;Si;;;206.5669;134;5851.7034;3796;4.3667;47;1;27
CATALUNYA;CATALUNYA;2020-08-10;2020-08-16;Si;;;232.7732;151;5813.1647;3771;4.7530;45;1;25
CATALUNYA;CATALUNYA;2020-08-10;2020-08-16;No;177.008;1.09241;83.4363;6347;1048.3250;79746;8.0784;452;57;43
CATALUNYA;CATALUNYA;2020-08-10;2020-08-16;--;;;0.0000;131;0.0000;1060;8.4466;23;2;0
CATALUNYA;CATALUNYA;2020-08-09;2020-08-15;--;;;0.0000;130;0.0000;1056;8.4713;20;3;0
CATALUNYA;CATALUNYA;2020-08-09;2020-08-15;Si;;;228.1486;148;5703.7151;3700;4.7832;46;2;29
CATALUNYA;CATALUNYA;2020-08-09;2020-08-15;No;175.429;1.09223;82.7002;6291;1044.7362;79473;8.0752;457;61;41
CATALUNYA;CATALUNYA;2020-08-08;2020-08-14;No;175.163;1.0947;82.8316;6301;1076.5753;81895;7.7933;458;61;37
CATALUNYA;CATALUNYA;2020-08-08;2020-08-14;--;;;0.0000;129;0.0000;1066;8.5990;19;3;0
CATALUNYA;CATALUNYA;2020-08-08;2020-08-14;Si;;;228.1486;148;5951.9038;3861;4.7141;45;3;29
CATALUNYA;CATALUNYA;2020-08-07;2020-08-13;No;173.17;1.08366;81.8457;6226;1075.8523;81840;7.6722;455;67;35
CATALUNYA;CATALUNYA;2020-08-07;2020-08-13;--;;;0.0000;122;0.0000;965;8.8204;16;3;0
CATALUNYA;CATALUNYA;2020-08-07;2020-08-13;Si;;;316.0166;205;6022.8148;3907;5.9481;48;3;23
CATALUNYA;CATALUNYA;2020-08-06;2020-08-12;--;;;0.0000;121;0.0000;1014;7.8014;17;3;0
CATALUNYA;CATALUNYA;2020-08-06;2020-08-12;Si;;;351.4721;228;5950.3622;3860;6.6768;44;2;23
CATALUNYA;CATALUNYA;2020-08-06;2020-08-12;No;169.981;1.06669;80.0710;6091;1070.7123;81449;7.6485;468;76;37
CATALUNYA;CATALUNYA;2020-08-05;2020-08-11;No;168.153;1.05132;79.8344;6073;1057.1458;80417;7.7420;472;78;35
CATALUNYA;CATALUNYA;2020-08-05;2020-08-11;--;;;0.0000;114;0.0000;1110;6.8203;18;3;0
CATALUNYA;CATALUNYA;2020-08-05;2020-08-11;Si;;;325.2659;211;5954.9868;3863;6.0337;43;3;23
CATALUNYA;CATALUNYA;2020-08-04;2020-08-10;No;166.543;1.03445;79.4532;6044;1056.9618;80403;7.8072;459;80;36
CATALUNYA;CATALUNYA;2020-08-04;2020-08-10;--;;;0.0000;121;0.0000;1172;6.4742;23;6;0
CATALUNYA;CATALUNYA;2020-08-04;2020-08-10;Si;;;295.9765;192;5985.8177;3883;5.6615;37;3;23
CATALUNYA;CATALUNYA;2020-08-03;2020-08-09;--;;;0.0000;128;0.0000;1162;6.2665;26;26;0
CATALUNYA;CATALUNYA;2020-08-03;2020-08-09;Si;;;282.1026;183;6078.3104;3943;5.4985;40;3;26
CATALUNYA;CATALUNYA;2020-08-03;2020-08-09;No;164.863;1.01886;78.5987;5979;1029.2373;78294;7.8566;464;75;27
CATALUNYA;CATALUNYA;2020-08-02;2020-08-08;--;;;0.0000;131;0.0000;1166;6.1620;39;26;0
CATALUNYA;CATALUNYA;2020-08-02;2020-08-08;Si;;;285.1857;185;6286.4189;4078;5.4046;41;2;25
CATALUNYA;CATALUNYA;2020-08-02;2020-08-08;No;162.234;1.00506;77.9151;5927;1023.6372;77868;7.8631;455;73;27
